Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:15:59.572,1.695,0.00,0.00,0.00,,
2018-08-09 17:15:59.604,1.727,0.00,0.00,0.00,,
2018-08-09 17:15:59.620,1.743,0.00,0.00,0.00,,
2018-08-09 17:15:59.636,1.759,0.00,0.00,0.00,,
2018-08-09 17:15:59.652,1.775,0.00,0.00,0.00,,
2018-08-09 17:15:59.684,1.807,0.00,0.00,0.00,,
2018-08-09 17:15:59.700,1.823,0.00,0.00,0.00,,
2018-08-09 17:15:59.716,1.839,0.00,0.00,0.00,,
2018-08-09 17:15:59.732,1.855,0.00,0.00,0.00,,
2018-08-09 17:15:59.764,1.887,0.00,0.00,0.00,,
2018-08-09 17:15:59.780,1.903,0.00,0.00,0.00,,
2018-08-09 17:15:59.796,1.919,0.00,0.00,0.00,,
2018-08-09 17:15:59.812,1.935,0.00,0.00,0.00,,
2018-08-09 17:15:59.844,1.967,0.00,0.00,0.00,,
2018-08-09 17:15:59.860,1.983,0.00,0.00,0.00,,
2018-08-09 17:15:59.876,1.999,0.00,0.00,0.00,,
2018-08-09 17:15:59.892,2.015,0.00,0.00,0.00,,
2018-08-09 17:15:59.924,2.047,0.00,0.00,0.00,,
2018-08-09 17:15:59.940,2.063,0.00,0.00,0.00,,
2018-08-09 17:15:59.956,2.079,0.00,0.00,0.00,,
2018-08-09 17:15:59.972,2.095,0.00,0.00,0.00,,
2018-08-09 17:16:00.004,2.127,0.00,0.00,0.00,,
2018-08-09 17:16:00.020,2.143,0.00,0.00,0.00,,
2018-08-09 17:16:00.036,2.159,0.00,0.00,0.00,,
2018-08-09 17:16:00.052,2.175,0.00,0.00,0.00,,
2018-08-09 17:16:00.084,2.207,0.00,0.00,0.00,,
2018-08-09 17:16:00.100,2.223,0.00,0.00,0.00,,
2018-08-09 17:16:00.116,2.239,0.00,0.00,0.00,,
2018-08-09 17:16:00.132,2.255,0.00,0.00,0.00,,
2018-08-09 17:16:00.164,2.287,0.00,0.00,0.00,,
2018-08-09 17:16:00.180,2.303,0.00,0.00,0.00,,
2018-08-09 17:16:00.196,2.319,0.00,0.00,0.00,,
2018-08-09 17:16:00.212,2.335,0.00,0.00,0.00,,
2018-08-09 17:16:00.244,2.367,0.00,0.00,0.00,,
2018-08-09 17:16:00.260,2.383,0.00,0.00,0.00,,
2018-08-09 17:16:00.276,2.399,0.00,0.00,0.00,,
2018-08-09 17:16:00.292,2.415,0.00,0.00,0.00,,
2018-08-09 17:16:00.324,2.447,0.00,0.00,0.00,,
2018-08-09 17:16:00.340,2.463,0.00,0.00,0.00,,
2018-08-09 17:16:00.356,2.479,0.00,0.00,0.00,,
2018-08-09 17:16:00.372,2.495,0.00,0.00,0.00,,
2018-08-09 17:16:00.404,2.527,0.00,0.00,0.00,,
2018-08-09 17:16:00.420,2.543,0.00,0.00,0.00,,
2018-08-09 17:16:00.436,2.559,0.00,0.00,0.00,,
2018-08-09 17:16:00.452,2.575,0.00,0.00,0.00,,
2018-08-09 17:16:00.484,2.607,0.00,0.00,0.00,,
2018-08-09 17:16:00.500,2.623,0.00,0.00,0.00,,
2018-08-09 17:16:00.516,2.639,0.00,0.00,0.00,,
2018-08-09 17:16:00.532,2.655,0.00,0.00,0.00,,
2018-08-09 17:16:00.564,2.687,0.00,0.00,0.00,,
2018-08-09 17:16:00.580,2.703,0.00,0.00,0.00,,
2018-08-09 17:16:00.596,2.719,0.00,0.00,0.00,,
2018-08-09 17:16:00.612,2.735,0.00,0.00,0.00,,
2018-08-09 17:16:00.644,2.767,0.00,0.00,0.00,,
2018-08-09 17:16:00.659,2.782,0.00,0.00,0.00,,
2018-08-09 17:16:00.676,2.799,0.00,0.00,0.00,,
2018-08-09 17:16:00.692,2.815,0.00,0.00,0.00,,
2018-08-09 17:16:00.724,2.847,0.00,0.00,0.00,,
2018-08-09 17:16:00.739,2.862,0.00,0.00,0.00,,
2018-08-09 17:16:00.756,2.879,0.00,0.00,0.00,,
2018-08-09 17:16:00.772,2.895,0.00,0.00,0.00,,
2018-08-09 17:16:00.804,2.927,0.00,0.00,0.00,,
2018-08-09 17:16:00.819,2.942,0.00,0.00,0.00,,
2018-08-09 17:16:00.836,2.959,0.00,0.00,0.00,,
2018-08-09 17:16:00.852,2.975,0.00,0.00,0.00,,
2018-08-09 17:16:00.884,3.007,0.00,0.00,0.00,,
2018-08-09 17:16:00.899,3.022,0.00,0.00,0.00,,
2018-08-09 17:16:00.916,3.039,0.00,0.00,0.00,,
2018-08-09 17:16:00.932,3.055,0.00,0.00,0.00,,
2018-08-09 17:16:00.964,3.087,0.00,0.00,0.00,,
2018-08-09 17:16:00.980,3.103,0.00,0.00,0.00,,
2018-08-09 17:16:00.996,3.119,0.00,0.00,0.00,,
2018-08-09 17:16:01.012,3.135,0.00,0.00,0.00,,
2018-08-09 17:16:01.044,3.167,0.00,0.00,0.00,,
2018-08-09 17:16:01.059,3.182,0.00,0.00,0.00,,
2018-08-09 17:16:01.076,3.199,0.00,0.00,0.00,,
2018-08-09 17:16:01.092,3.215,0.00,0.00,0.00,,
2018-08-09 17:16:01.124,3.247,0.00,0.00,0.00,,
2018-08-09 17:16:01.139,3.262,0.00,0.00,0.00,,
2018-08-09 17:16:01.156,3.279,0.00,0.00,0.00,,
2018-08-09 17:16:01.172,3.295,0.00,0.00,0.00,,
2018-08-09 17:16:01.204,3.327,0.00,0.00,0.00,,
2018-08-09 17:16:01.220,3.343,0.00,0.00,0.00,,
2018-08-09 17:16:01.236,3.359,0.00,0.00,0.00,,
