Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:53:56.135,1.021,0.00,0.00,0.00,,
2018-08-09 17:53:57.126,2.012,0.00,0.00,0.00,,
2018-08-09 17:53:58.134,3.020,0.00,0.00,0.00,,
2018-08-09 17:53:59.125,4.011,0.00,0.00,0.00,,
2018-08-09 17:54:00.133,5.019,0.00,0.00,0.00,,
2018-08-09 17:54:01.125,6.011,0.00,0.00,0.00,,
2018-08-09 17:54:02.180,7.066,0.01,0.01,0.00,,
2018-08-09 17:54:03.124,8.010,0.01,0.01,0.00,,
2018-08-09 17:54:04.132,9.018,0.01,0.01,0.00,,
2018-08-09 17:54:05.123,10.009,0.01,0.01,0.00,,
2018-08-09 17:54:06.131,11.017,0.01,0.01,0.00,,
2018-08-09 17:54:07.122,12.008,0.01,0.01,0.00,,
2018-08-09 17:54:08.146,13.032,0.01,0.01,0.00,,
2018-08-09 17:54:09.138,14.024,0.01,0.01,0.00,,
2018-08-09 17:54:10.129,15.015,0.01,0.01,0.00,,
2018-08-09 17:54:11.137,16.023,0.01,0.01,0.00,,
2018-08-09 17:54:12.128,17.014,0.01,0.01,0.00,,
2018-08-09 17:54:13.136,18.022,0.01,0.01,0.00,,
2018-08-09 17:54:14.128,19.014,0.01,0.01,0.00,,
2018-08-09 17:54:15.167,20.053,0.01,0.01,0.00,,
2018-08-09 17:54:16.127,21.013,0.01,0.01,0.00,,
2018-08-09 17:54:17.135,22.021,0.01,0.02,0.00,,
2018-08-09 17:54:18.126,23.012,0.02,0.02,0.00,,
2018-08-09 17:54:19.134,24.020,0.02,0.02,0.00,,
2018-08-09 17:54:20.125,25.011,0.02,0.02,0.00,,
2018-08-09 17:54:21.149,26.035,0.02,0.02,0.00,,
2018-08-09 17:54:22.124,27.010,0.02,0.02,0.00,,
2018-08-09 17:54:23.132,28.018,0.02,0.02,0.00,,
2018-08-09 17:54:24.124,29.010,0.02,0.02,0.00,,
2018-08-09 17:54:25.131,30.017,0.02,0.02,0.00,,
2018-08-09 17:54:26.123,31.009,0.02,0.02,0.00,,
2018-08-09 17:54:27.131,32.017,0.02,0.02,0.00,,
2018-08-09 17:54:28.170,33.056,0.02,0.02,0.00,,
2018-08-09 17:54:29.130,34.016,0.02,0.02,0.00,,
2018-08-09 17:54:30.121,35.007,0.02,0.02,0.00,,
2018-08-09 17:54:31.129,36.015,0.02,0.04,0.00,,
2018-08-09 17:54:32.137,37.023,0.03,0.05,0.00,,
2018-08-09 17:54:33.128,38.014,0.03,0.05,0.00,,
2018-08-09 17:54:34.168,39.054,0.03,0.05,0.00,,
2018-08-09 17:54:35.128,40.014,0.03,0.05,0.00,,
2018-08-09 17:54:36.135,41.021,0.03,0.05,0.00,,
2018-08-09 17:54:37.127,42.013,0.03,0.05,0.00,,
2018-08-09 17:54:38.135,43.021,0.03,0.05,0.00,,
2018-08-09 17:54:39.126,44.012,0.03,0.05,0.00,,
2018-08-09 17:54:40.151,45.037,0.03,0.05,0.00,,
2018-08-09 17:54:41.189,46.075,0.03,0.05,0.00,,
2018-08-09 17:54:42.133,47.019,0.03,0.05,0.00,,
