Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 18:00:56.545,1.001,0.00,0.00,0.00,,
2018-08-09 18:00:57.553,2.009,0.00,0.00,0.00,,
2018-08-09 18:00:58.544,3.000,0.00,0.00,0.00,,
2018-08-09 18:00:59.552,4.008,0.00,0.03,-0.01,,
2018-08-09 18:01:00.543,4.999,1.07,1.21,-0.01,,
2018-08-09 18:01:01.551,6.007,0.63,1.21,-0.01,,
2018-08-09 18:01:02.559,7.015,-0.02,1.21,-0.09,,
2018-08-09 18:01:03.550,8.006,0.00,1.21,-0.09,,
2018-08-09 18:01:04.558,9.014,0.00,1.21,-0.09,,
2018-08-09 18:01:05.549,10.005,0.00,1.21,-0.09,,
2018-08-09 18:01:06.557,11.013,0.01,1.21,-0.09,,
2018-08-09 18:01:07.549,12.005,0.01,1.21,-0.09,,
2018-08-09 18:01:08.589,13.045,0.01,1.21,-0.09,,
2018-08-09 18:01:09.548,14.004,0.01,1.21,-0.09,,
2018-08-09 18:01:10.556,15.012,0.01,1.21,-0.09,,
2018-08-09 18:01:11.547,16.003,0.01,1.21,-0.09,,
2018-08-09 18:01:12.555,17.011,0.01,1.21,-0.09,,
2018-08-09 18:01:13.546,18.002,0.01,1.21,-0.09,,
2018-08-09 18:01:14.554,19.010,0.01,1.21,-0.09,,
2018-08-09 18:01:15.610,20.066,0.01,1.21,-0.09,,
2018-08-09 18:01:16.553,21.009,0.01,1.21,-0.09,,
2018-08-09 18:01:17.545,22.001,0.01,1.21,-0.09,,
2018-08-09 18:01:18.553,23.009,0.01,1.21,-0.09,,
2018-08-09 18:01:19.544,24.000,0.02,1.21,-0.09,,
2018-08-09 18:01:20.552,25.008,0.02,1.21,-0.09,,
2018-08-09 18:01:21.591,26.047,0.02,1.21,-0.09,,
2018-08-09 18:01:22.551,27.007,0.02,1.21,-0.09,,
2018-08-09 18:01:23.559,28.015,0.02,1.21,-0.09,,
2018-08-09 18:01:24.550,29.006,0.02,1.21,-0.09,,
2018-08-09 18:01:25.558,30.014,0.02,1.21,-0.09,,
2018-08-09 18:01:26.550,31.006,0.02,1.21,-0.09,,
2018-08-09 18:01:27.573,32.029,0.02,1.21,-0.09,,
2018-08-09 18:01:28.549,33.005,0.02,1.21,-0.09,,
2018-08-09 18:01:29.556,34.012,0.02,1.21,-0.09,,
2018-08-09 18:01:30.548,35.004,0.02,1.21,-0.09,,
2018-08-09 18:01:31.556,36.012,0.02,1.21,-0.09,,
2018-08-09 18:01:32.547,37.003,0.02,1.21,-0.09,,
2018-08-09 18:01:33.555,38.011,0.02,1.21,-0.09,,
2018-08-09 18:01:34.594,39.050,0.02,1.21,-0.09,,
2018-08-09 18:01:35.554,40.010,0.02,1.21,-0.09,,
2018-08-09 18:01:36.546,41.002,0.02,1.21,-0.09,,
2018-08-09 18:01:37.554,42.010,0.02,1.21,-0.09,,
2018-08-09 18:01:38.545,43.001,0.02,1.21,-0.09,,
2018-08-09 18:01:39.553,44.009,0.03,1.21,-0.09,,
2018-08-09 18:01:40.560,45.016,0.02,1.21,-0.09,,
2018-08-09 18:01:41.552,46.008,0.02,1.21,-0.09,,
2018-08-09 18:01:42.559,47.015,0.02,1.21,-0.09,,
2018-08-09 18:01:43.551,48.007,0.02,1.21,-0.09,,
2018-08-09 18:01:44.543,48.999,0.02,1.21,-0.09,,
2018-08-09 18:01:45.550,50.006,0.02,1.21,-0.09,,
