Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:55:55.520,1.008,0.00,0.00,0.00,,
2018-08-09 17:55:56.511,1.999,0.00,0.00,0.00,,
2018-08-09 17:55:57.519,3.007,0.00,0.00,0.00,,
2018-08-09 17:55:58.510,3.998,0.00,0.00,0.00,,
2018-08-09 17:55:59.518,5.006,0.00,0.00,0.00,,
2018-08-09 17:56:00.541,6.029,0.00,0.00,0.00,,
2018-08-09 17:56:01.517,7.005,0.00,0.01,0.00,,
2018-08-09 17:56:02.525,8.013,0.00,0.01,0.00,,
2018-08-09 17:56:03.516,9.004,0.00,0.01,0.00,,
2018-08-09 17:56:04.524,10.012,0.01,0.01,0.00,,
2018-08-09 17:56:05.516,11.004,0.01,0.01,0.00,,
2018-08-09 17:56:06.555,12.043,0.01,0.01,0.00,,
2018-08-09 17:56:07.515,13.003,0.01,0.01,0.00,,
2018-08-09 17:56:08.522,14.010,0.01,0.01,0.00,,
2018-08-09 17:56:09.514,15.002,0.01,0.01,0.00,,
2018-08-09 17:56:10.522,16.010,0.01,0.01,0.00,,
2018-08-09 17:56:11.513,17.001,0.01,0.01,0.00,,
2018-08-09 17:56:12.521,18.009,0.01,0.01,0.00,,
2018-08-09 17:56:13.577,19.065,0.01,0.01,0.00,,
2018-08-09 17:56:14.520,20.008,0.01,0.01,0.00,,
2018-08-09 17:56:15.512,21.000,0.01,0.01,0.00,,
2018-08-09 17:56:16.519,22.007,0.01,0.01,0.00,,
2018-08-09 17:56:17.511,22.999,0.01,0.01,0.00,,
2018-08-09 17:56:18.519,24.007,0.01,0.01,0.00,,
2018-08-09 17:56:19.558,25.046,0.01,0.01,0.00,,
2018-08-09 17:56:20.518,26.006,0.01,0.01,0.00,,
2018-08-09 17:56:21.510,26.998,0.01,0.01,0.00,,
2018-08-09 17:56:22.517,28.005,0.01,0.02,0.00,,
2018-08-09 17:56:23.525,29.013,0.01,0.02,0.00,,
2018-08-09 17:56:24.516,30.004,0.01,0.02,0.00,,
2018-08-09 17:56:25.524,31.012,0.01,0.02,0.00,,
2018-08-09 17:56:26.579,32.067,0.02,0.02,0.00,,
2018-08-09 17:56:27.523,33.011,0.02,0.02,0.00,,
2018-08-09 17:56:28.515,34.003,0.02,0.02,0.00,,
2018-08-09 17:56:29.522,35.010,0.02,0.02,0.00,,
2018-08-09 17:56:30.514,36.002,0.02,0.02,0.00,,
2018-08-09 17:56:31.522,37.010,0.02,0.02,0.00,,
2018-08-09 17:56:32.529,38.017,0.02,0.02,0.00,,
2018-08-09 17:56:33.521,39.009,0.02,0.02,0.00,,
2018-08-09 17:56:34.513,40.001,0.02,0.02,0.00,,
2018-08-09 17:56:35.520,41.008,0.02,0.02,0.00,,
2018-08-09 17:56:36.512,42.000,0.02,0.02,0.00,,
2018-08-09 17:56:37.519,43.007,0.02,0.02,0.00,,
2018-08-09 17:56:38.527,44.015,0.02,0.02,0.00,,
2018-08-09 17:56:39.582,45.070,0.02,0.02,0.00,,
2018-08-09 17:56:40.510,45.998,0.02,0.02,0.00,,
2018-08-09 17:56:41.518,47.006,0.02,0.02,0.00,,
2018-08-09 17:56:42.525,48.013,0.02,0.02,0.00,,
2018-08-09 17:56:43.517,49.005,0.02,0.02,0.00,,
2018-08-09 17:56:44.525,50.013,0.02,0.02,0.00,,
2018-08-09 17:56:45.548,51.036,0.02,0.02,0.00,,
2018-08-09 17:56:46.530,52.018,0.02,0.02,0.00,,
2018-08-09 17:56:47.516,53.004,0.02,0.02,0.00,,
2018-08-09 17:56:48.523,54.011,0.02,0.02,0.00,,
2018-08-09 17:56:49.515,55.003,0.02,0.02,0.00,,
