Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:51:26.548,1.016,0.00,0.00,0.00,,
2018-08-09 17:51:27.539,2.007,0.00,0.00,0.00,,
2018-08-09 17:51:28.547,3.015,0.00,0.00,0.00,,
2018-08-09 17:51:29.539,4.007,0.00,0.00,0.00,,
2018-08-09 17:51:30.546,5.014,0.00,0.00,0.00,,
2018-08-09 17:51:31.554,6.022,0.00,0.00,0.00,,
2018-08-09 17:51:32.545,7.013,0.00,0.00,0.00,,
2018-08-09 17:51:33.537,8.005,0.00,0.00,0.00,,
2018-08-09 17:51:34.545,9.013,0.00,0.00,0.00,,
2018-08-09 17:51:35.536,10.004,0.00,0.00,0.00,,
2018-08-09 17:51:36.544,11.012,0.00,0.00,0.00,,
2018-08-09 17:51:37.551,12.019,0.00,0.01,0.00,,
2018-08-09 17:51:38.591,13.059,0.00,0.01,0.00,,
2018-08-09 17:51:39.551,14.019,0.01,0.01,0.00,,
2018-08-09 17:51:40.542,15.010,0.01,0.01,0.00,,
2018-08-09 17:51:41.550,16.018,0.01,0.01,0.00,,
2018-08-09 17:51:42.542,17.010,0.01,0.01,0.00,,
2018-08-09 17:51:43.549,18.017,0.01,0.01,0.00,,
2018-08-09 17:51:44.589,19.057,0.01,0.01,0.00,,
2018-08-09 17:51:45.548,20.016,0.01,0.01,0.00,,
2018-08-09 17:51:46.540,21.008,0.01,0.01,0.00,,
2018-08-09 17:51:47.548,22.016,0.01,0.01,0.00,,
2018-08-09 17:51:48.539,23.007,0.01,0.01,0.00,,
2018-08-09 17:51:49.547,24.015,0.01,0.01,0.00,,
2018-08-09 17:51:50.554,25.022,0.01,0.01,0.00,,
2018-08-09 17:51:51.562,26.030,0.01,0.02,0.00,,
2018-08-09 17:51:52.538,27.006,0.01,0.02,0.00,,
2018-08-09 17:51:53.546,28.014,0.02,0.02,0.00,,
2018-08-09 17:51:54.537,29.005,0.01,0.02,0.00,,
2018-08-09 17:51:55.545,30.013,0.02,0.02,0.00,,
2018-08-09 17:51:56.536,31.004,0.01,0.02,0.00,,
